STARTTID;SLUTTID;PRISOMRÅDE;FORBRUKSGRUPPE;VOLUM_KWH;ANTALL_MÅLEPUNKT
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO4;Sekundær Industri;1118253,746;6125
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO4;Tertiære Tjenester;309471,888;40302
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO5;Hytter og fritidseiendommer;35919,564;48405
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO5;Husholdning;324820,255;260411
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO5;Primær Industri;14160,824;1953
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO5;Sekundær Industri;1053331,234;5019
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO5;Tertiære Tjenester;212299,795;27954
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO1;Hytter og fritidseiendommer;71846,250;110801
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO1;Husholdning;1262688,663;1122291
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO1;Primær Industri;27640,011;7482
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO1;Sekundær Industri;447898,377;15107
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO1;Tertiære Tjenester;804725,139;96213
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO2;Hytter og fritidseiendommer;62378,394;106610
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO2;Husholdning;799079,385;634331
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO2;Primær Industri;84278,638;5761
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO2;Sekundær Industri;2064355,173;12574
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO2;Tertiære Tjenester;445731,508;70977
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO3;Hytter og fritidseiendommer;41457,790;62802
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO3;Husholdning;579785,985;412172
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO3;Primær Industri;98892,033;10290
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO3;Sekundær Industri;1692241,096;9243
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO3;Tertiære Tjenester;402037,833;52404
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO4;Hytter og fritidseiendommer;32994,422;44167
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO4;Husholdning;377718,870;245817
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO4;Primær Industri;66205,654;3977
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO4;Sekundær Industri;1148293,447;6125
2026-09-13T09:00:00+02:00;2026-09-13T10:00:00+02:00;NO4;Tertiære Tjenester;316018,359;40302
